CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,Geography_Germany,Geography_Spain
850,0,45,2,122311,1,1,1,19482,0,0,1
510,1,65,2,0,2,1,1,48071,0,0,0
778,0,45,1,162150,2,1,0,174531,0,1,0
636,1,42,2,0,2,1,1,55470,0,0,0
804,0,50,4,0,1,1,1,8546,1,0,0
514,1,32,8,0,2,1,0,95857,0,0,0
730,0,39,1,99010,1,1,0,194945,0,0,0
525,0,37,0,0,1,0,1,131521,0,0,1
616,1,30,5,0,2,0,1,196108,0,0,1
687,0,34,7,111388,2,1,0,148564,0,1,0
715,0,41,8,56214,2,0,0,92982,1,0,0
512,0,36,3,84327,2,1,0,17675,0,0,0
479,1,40,1,0,2,0,0,114996,0,0,0
601,1,32,8,93012,1,1,0,86957,0,0,0
580,1,29,9,61710,2,1,0,128077,0,0,1
807,1,35,3,174790,1,1,1,600,0,0,0
616,0,32,6,0,2,1,1,43001,0,0,1
721,1,37,3,107720,1,1,1,158591,0,1,0
501,1,57,10,0,2,1,1,47847,0,0,0
521,1,35,6,96423,1,1,0,10488,0,0,0
850,1,30,2,141040,1,1,1,5978,0,0,1
759,1,42,4,105420,1,0,1,121409,0,0,0
516,1,50,5,0,1,0,1,146145,1,0,1
711,0,38,2,129022,2,1,1,14374,1,0,0
512,1,33,3,176666,1,1,0,94670,0,0,1
550,1,37,3,0,1,1,1,179670,0,0,0
608,0,41,3,89763,1,0,0,199304,1,0,1
618,1,34,5,134954,1,1,1,151954,0,0,0
643,1,45,5,0,1,1,0,142513,1,0,0
671,1,45,2,106376,1,0,1,158264,0,0,0
689,1,33,2,161814,2,1,0,169381,0,1,0
603,1,31,8,0,2,1,1,169915,0,0,0
620,0,41,9,0,2,0,0,88852,0,0,0
676,0,34,1,63095,1,1,1,40645,0,0,0
572,1,26,4,118287,2,0,0,60427,0,1,0
668,1,47,7,106854,1,0,1,157959,1,1,0
695,1,46,7,49512,1,1,0,133007,0,0,0
730,0,33,9,0,2,0,0,176576,0,0,1
807,1,43,1,105799,2,1,0,34888,1,0,0
592,1,54,8,0,1,1,1,28737,1,0,0
726,0,31,9,114722,2,1,1,98178,0,0,0
514,1,30,7,0,1,0,1,125010,0,0,1
567,1,42,2,0,2,1,1,167984,0,0,0
850,1,33,10,0,1,1,0,4861,1,0,0
671,1,45,6,99564,1,1,1,108872,1,1,0
670,1,37,4,170557,2,1,0,198252,0,0,0
694,0,30,9,0,2,1,1,26960,0,0,0
547,0,39,6,74596,3,1,1,85746,1,1,0
751,1,50,2,96888,1,1,0,77206,1,1,0
594,0,29,3,130830,1,1,0,61048,0,1,0
673,1,72,1,0,2,0,1,111981,0,0,0
610,1,40,0,0,2,1,0,62232,0,0,0
512,0,37,1,0,2,0,1,156105,0,0,0
767,1,20,3,119714,2,0,1,150135,0,1,0
585,0,67,5,113978,2,0,1,93146,0,0,0
763,1,42,6,100160,1,1,0,33462,1,1,0
712,0,29,2,0,1,1,1,144375,0,0,0
539,0,43,3,116220,3,1,0,55803,1,1,0
668,0,46,2,0,3,1,0,89048,1,0,0
703,1,28,2,81173,2,0,1,162812,0,0,0
662,1,38,4,0,2,1,0,136259,0,0,1
725,0,39,5,116803,1,1,0,124052,0,1,0
703,1,37,8,105961,2,0,1,74158,0,0,0
659,1,67,6,117411,1,1,1,45071,1,1,0
523,1,34,7,0,2,1,0,62030,0,0,1
635,0,40,10,123497,1,1,0,131953,1,0,0
772,1,26,7,152400,2,1,0,79414,0,1,0
545,0,26,1,0,2,1,1,199638,0,0,0
634,1,24,8,103097,1,1,1,157577,0,1,0
739,1,54,8,126418,1,1,0,134420,1,1,0
771,0,36,5,77846,1,0,0,99805,0,1,0
587,0,34,1,0,2,1,1,97932,0,0,1
681,0,79,0,0,2,0,1,170968,0,0,0
544,1,37,2,79731,1,1,1,57558,0,1,0
696,1,28,8,0,1,0,0,176713,0,0,1
766,1,41,0,0,2,0,1,34283,0,0,1
727,1,34,10,0,2,1,1,198637,0,0,0
671,0,34,6,37266,2,0,0,156917,0,1,0
693,0,30,6,127992,1,1,1,50457,0,0,0
850,1,38,3,54901,1,1,1,140075,0,1,0
732,1,42,9,108748,2,1,1,65323,0,1,0
726,0,48,6,99906,1,1,0,64323,0,0,1
557,0,32,6,184686,2,1,0,14956,0,0,0
682,0,26,0,110654,1,0,1,111879,0,0,0
738,1,31,9,79019,1,1,1,18606,0,0,1
531,0,36,9,99240,1,1,0,123137,0,0,1
498,1,34,2,0,2,1,1,148528,0,0,0
651,1,36,7,0,2,1,0,13898,0,0,0
549,0,39,7,0,1,0,0,81259,1,0,1
791,0,35,7,52436,1,1,0,161051,0,1,0
650,1,41,9,0,2,0,1,191599,0,0,1
733,1,34,3,100337,3,1,0,48559,1,1,0
811,0,34,1,149297,2,1,1,186339,0,1,0
707,1,30,8,0,2,1,0,33159,0,0,0
712,1,28,4,145605,1,0,1,93883,0,1,0
706,0,37,7,0,2,1,1,110899,0,0,1
756,1,62,3,0,1,1,1,11199,1,0,0
777,0,53,10,0,2,1,0,189992,0,0,0
646,1,35,6,84026,1,0,1,164255,0,0,0
714,1,46,1,0,1,1,0,152167,1,0,0
782,1,39,8,0,2,1,1,33949,0,0,0
775,1,29,10,0,2,1,1,68143,0,0,1
479,1,35,4,138718,1,1,1,47251,1,1,0
807,1,42,7,118274,1,1,1,25885,0,0,0
799,0,22,8,174185,2,0,1,192633,0,0,0
675,1,40,7,113208,2,1,0,34577,0,0,0
602,1,29,5,103907,1,1,0,161229,0,0,1
475,0,32,8,119023,1,1,0,100816,0,0,0
744,0,26,5,166297,1,1,1,181694,0,0,1
588,1,34,10,0,2,1,0,79078,0,0,1
703,1,42,9,63227,1,0,1,137316,0,1,0
747,0,41,5,94521,2,1,0,194926,0,0,1
583,1,27,7,0,2,1,0,51285,0,0,0
750,0,34,9,112822,1,0,0,150401,1,0,1
681,1,38,3,0,2,1,1,112491,0,0,0
773,1,25,2,135903,1,1,0,73656,0,0,0
714,0,31,4,125169,1,1,1,106636,0,0,0
687,0,44,7,0,3,1,0,155853,1,0,1
511,1,58,0,149117,1,1,1,162599,0,0,0
627,1,33,5,0,2,1,1,103737,0,0,0
694,0,31,10,0,2,1,0,160990,0,0,0
616,0,36,6,132311,1,0,0,15462,0,0,1
687,1,35,8,0,2,1,0,10334,0,0,0
712,0,33,6,0,2,1,1,190686,0,0,0
553,1,33,4,118082,1,0,0,94440,0,0,0
667,1,31,1,119266,1,1,1,28257,0,0,0
731,1,43,2,0,1,1,1,170034,1,0,0
629,1,35,7,156847,2,1,0,31824,0,1,0
614,1,50,4,137104,1,1,0,127166,1,0,0
438,1,31,8,78398,1,1,0,44937,0,1,0
652,0,80,4,0,2,1,1,188603,0,0,0
729,1,30,6,63669,1,1,0,145111,0,1,0
642,1,38,3,0,2,0,0,171463,0,0,0
806,0,59,0,135296,1,1,0,182822,0,1,0
744,1,36,2,153804,1,1,1,87213,0,0,1
474,1,37,3,0,2,0,0,57175,0,0,1
559,1,49,2,147069,1,1,0,120540,1,0,0
706,1,42,9,0,2,1,1,28714,0,0,1
628,0,22,3,0,1,1,0,85426,0,0,1
429,1,24,4,95741,1,1,0,46170,0,0,0
525,0,57,2,145965,1,1,1,64448,0,0,1
680,0,30,8,141441,1,1,1,16278,0,0,0
749,1,40,1,139290,1,1,0,182855,1,0,0
763,0,31,4,0,2,0,0,50404,0,0,0
734,1,30,3,0,2,1,0,107640,0,0,0
716,1,35,4,144428,1,1,0,134132,0,0,0
594,1,35,2,0,2,1,0,103480,0,0,0
644,0,46,9,95441,1,1,0,108761,1,0,0
671,1,35,1,144848,1,1,1,179012,0,1,0
664,1,26,7,116244,2,1,1,95145,0,1,0
656,1,50,7,0,2,0,1,72143,0,0,0
667,0,40,1,146502,1,1,0,19162,0,0,1
663,1,44,2,117028,2,0,1,144680,0,1,0
584,0,30,8,112013,1,1,0,177772,1,1,0
626,0,37,6,108269,1,1,0,5597,0,0,1
485,1,29,7,182123,1,1,0,116828,1,0,0
659,0,32,3,150923,2,0,1,174652,0,1,0
649,1,33,2,0,2,1,0,2010,0,0,0
805,0,39,5,165272,1,1,0,14109,1,0,1
716,0,39,10,115301,1,1,0,43527,1,1,0
642,0,40,6,129502,2,0,1,86099,1,1,0
659,1,31,4,118342,1,0,0,161574,0,0,0
545,0,47,5,0,2,1,1,38970,0,0,1
543,1,22,8,0,2,0,0,127587,0,0,0
718,0,25,7,0,2,1,0,30380,0,0,0
840,0,43,7,0,2,1,0,90908,0,0,0
630,0,34,9,106937,2,1,0,138275,0,1,0
643,1,59,3,170331,1,1,1,32171,0,1,0
654,0,32,1,114510,1,1,1,126143,0,1,0
582,1,39,5,0,2,1,1,129892,0,0,0
659,1,32,3,107594,2,1,1,102416,0,0,1
762,1,39,2,81273,1,1,1,18719,0,0,1
568,0,32,7,169399,1,1,0,61936,0,0,1
670,1,25,6,0,2,1,1,78358,0,0,1
613,0,45,1,187841,2,1,1,147224,0,0,0
539,1,30,0,0,2,1,0,160979,0,0,0
850,0,57,8,126776,2,1,1,132298,0,0,1
522,1,34,9,126436,1,1,0,174248,1,0,1
737,1,41,1,101960,1,1,1,123547,0,0,0
520,1,58,3,0,2,0,1,32790,0,0,0
706,1,28,3,0,2,0,1,181543,0,0,1
643,0,45,2,150842,1,0,1,2319,1,1,0
648,0,50,9,102535,1,1,1,189543,0,0,0
443,0,29,9,99027,2,1,0,10940,0,1,0
640,1,68,9,0,2,1,1,199493,0,0,0
628,0,33,3,0,1,1,1,188193,0,0,1
540,0,42,9,87271,2,1,0,172572,0,1,0
460,0,35,8,102742,2,1,1,189339,0,1,0
636,1,34,2,40105,2,0,1,53512,0,1,0
593,0,29,2,152265,1,1,0,34004,0,0,0
801,1,42,4,141947,1,1,1,10598,0,0,1
640,0,75,1,106307,2,0,1,113428,0,1,0
611,1,31,0,107884,2,1,1,183487,0,1,0
802,1,31,1,125013,1,1,1,187658,0,1,0
717,1,35,7,58469,2,1,1,172459,0,1,0
769,0,39,8,0,1,0,1,21016,0,0,0
745,1,45,10,117231,3,1,1,122381,1,1,0
572,1,35,4,152390,1,1,0,128123,0,0,1
629,0,30,2,34013,1,1,0,19570,0,0,1
687,0,39,2,0,3,0,0,188150,1,0,1
483,0,50,9,0,2,1,1,111020,0,0,0
690,1,36,7,101583,2,1,0,123775,0,0,0
492,0,30,10,77168,2,0,1,146700,0,1,0
709,1,28,8,124695,2,1,0,145251,0,1,0
705,1,44,3,105934,1,1,0,82463,0,1,0
560,0,66,9,0,1,1,1,15928,0,0,0
611,1,46,6,0,2,1,0,45886,0,0,1
730,1,62,2,0,2,1,1,186489,0,0,1
709,0,45,2,0,2,0,1,162922,0,0,1
544,0,21,10,161525,2,1,0,9262,0,0,0
712,0,29,7,147199,1,1,1,84932,0,1,0
752,1,38,3,183102,1,1,1,71557,0,1,0
648,1,46,9,127209,2,1,0,77405,1,0,1
556,1,38,8,0,2,0,0,417,1,0,1
594,0,24,0,97378,1,1,1,71405,0,0,1
645,0,37,2,136925,2,0,1,153400,0,1,0
557,1,33,3,54503,1,1,1,371,0,0,0
547,1,32,8,155726,1,1,0,67789,0,1,0
701,0,39,9,0,2,0,1,145894,0,0,0
616,0,66,1,135842,1,1,0,183840,1,0,0
605,1,52,1,63349,1,1,0,108887,0,0,0
593,0,38,4,129499,1,1,1,154071,0,1,0
751,1,52,8,0,2,0,1,179291,0,0,1
443,1,36,6,70438,2,0,1,56937,0,0,1
685,1,23,8,0,2,1,1,112239,0,0,0
718,1,36,9,0,1,1,0,45909,0,0,0
538,0,49,9,141434,1,0,0,173779,1,0,1
611,0,37,4,0,2,1,0,125696,0,0,1
668,1,37,10,152958,2,1,1,159585,0,1,0
537,0,41,3,138306,1,1,0,106761,0,1,0
709,1,23,10,0,2,0,0,129590,0,0,1
850,1,38,1,0,2,1,1,80006,0,0,0
745,0,31,3,124328,1,1,1,140451,0,0,1
693,0,41,9,181461,3,1,1,187929,1,1,0
795,1,35,8,0,2,1,0,167155,0,0,1
626,1,26,8,0,2,0,0,191420,0,0,1
487,0,61,5,110368,1,0,0,11384,1,1,0
556,0,39,9,89588,1,1,1,94898,0,0,0
643,0,46,6,0,2,0,0,106781,0,0,0
605,0,28,6,0,2,0,0,159508,0,0,0
756,0,60,3,115924,1,1,0,93524,1,1,0
586,0,38,2,0,2,1,0,87168,0,0,0
535,1,40,7,111756,1,1,0,8128,1,1,0
678,0,35,4,0,1,1,0,125518,0,0,0
596,1,39,9,0,1,1,0,48963,0,0,0
648,1,26,9,162923,1,1,0,98368,0,0,0
492,1,39,10,124576,2,1,0,148584,0,1,0
702,1,45,0,80793,1,1,1,27474,0,0,0
486,0,40,9,71340,1,1,0,76192,0,1,0
568,1,40,1,99282,1,0,0,134600,1,1,0
619,1,57,3,137946,1,1,1,72467,1,1,0
724,1,41,2,127892,2,0,1,199645,0,1,0
548,0,33,0,101084,1,1,0,42749,0,1,0
545,0,37,8,114754,1,1,0,136050,1,1,0
683,1,33,8,0,1,0,0,73564,0,0,0
762,0,51,3,99286,1,0,1,85578,0,0,0
627,0,30,4,79871,2,1,0,129826,0,1,0
516,1,35,10,104088,2,0,0,119666,0,0,0
800,0,38,2,168190,2,1,0,68052,0,0,0
464,0,42,3,85679,1,1,1,164104,0,1,0
626,0,35,3,0,1,0,0,80190,0,0,0
790,0,31,9,0,2,1,0,84126,0,0,0
534,0,34,7,121551,2,1,1,70179,0,0,0
745,1,46,2,122220,1,1,1,118024,0,0,0
553,1,47,3,116528,1,0,0,145704,1,0,1
748,0,26,1,77780,1,0,1,183049,0,0,0
722,1,37,2,0,1,0,0,120906,0,0,0
501,1,40,4,125832,1,1,1,100433,0,0,0
675,0,38,6,68065,1,0,0,138777,1,0,0
778,0,47,6,127299,2,1,0,124694,0,0,1
494,0,38,7,174937,1,1,0,40084,0,1,0
850,1,40,9,0,2,0,1,119232,0,0,0
592,1,31,7,110071,1,0,0,43921,0,0,1
590,0,44,3,139432,1,1,0,62222,0,0,1
758,0,39,6,127357,1,0,1,56577,0,0,0
506,1,36,5,0,2,1,0,164253,0,0,0
733,1,33,3,0,1,1,1,7666,0,0,0
711,1,38,3,0,2,1,0,68487,0,0,0
514,1,43,1,95556,1,0,1,199273,1,1,0
637,1,37,8,0,1,1,1,186062,0,0,1
468,1,29,1,111681,2,1,1,195711,0,1,0
539,1,39,3,0,2,1,0,36692,0,0,0
509,0,25,3,108738,2,1,0,106920,0,0,1
662,0,32,4,133950,1,1,1,48725,1,0,0
818,1,26,4,0,2,1,1,167036,0,0,1
608,1,33,9,89968,1,1,0,68777,0,0,0
850,0,32,9,0,2,1,1,18924,0,0,1
816,0,38,5,130878,3,1,0,71905,1,1,0
536,1,35,8,0,2,1,0,64833,0,0,0
753,1,35,3,0,2,1,1,184843,0,0,0
631,1,27,10,134169,1,1,1,176730,0,0,1
703,1,37,1,149762,1,1,0,20629,1,0,0
774,1,26,2,93844,1,1,0,28415,0,0,0
785,1,28,8,0,2,1,0,77231,0,0,0
571,0,33,1,0,2,1,0,102750,0,0,0
621,1,46,6,141078,1,0,0,34580,1,1,0
605,0,31,1,117992,1,1,1,183598,0,1,0
611,0,40,8,100812,2,1,0,147358,0,0,0
569,1,38,7,0,1,1,1,108469,0,0,0
658,1,29,4,80262,1,1,1,20612,0,0,0
788,1,34,6,156478,1,0,1,181196,0,0,1
525,0,23,5,0,2,1,0,160249,0,0,0
798,1,37,8,0,3,0,0,110783,0,0,0
486,1,37,9,115217,2,1,0,144995,0,1,0
615,1,61,9,0,2,1,0,150227,1,0,1
730,0,35,0,155470,1,1,1,53718,0,0,0
641,1,37,7,0,2,1,0,75248,0,0,0
542,1,39,3,135096,1,1,1,14353,1,0,0
692,1,30,2,0,2,0,1,130486,0,0,0
714,0,55,9,180075,1,1,1,100127,0,1,0
591,1,29,1,97541,1,1,1,196356,0,0,1
710,0,41,2,156067,1,1,1,9983,0,0,0
639,0,38,4,81550,2,0,1,118974,0,0,0
531,0,47,6,0,1,0,0,194998,1,0,0
673,0,38,2,170061,2,0,0,134901,1,0,0
765,1,36,8,92310,2,1,1,72924,0,1,0
622,0,32,6,169089,2,1,0,101057,0,0,0
806,1,40,5,80613,1,1,1,142838,0,0,0
757,1,26,8,121581,2,1,1,127059,0,1,0
570,0,58,8,0,1,0,1,116503,1,0,0
555,1,32,4,0,2,1,1,54405,0,0,1
692,1,54,5,0,2,1,1,88721,0,0,0
774,1,60,5,85891,1,1,0,74135,1,0,0
638,1,44,9,77637,2,1,1,111346,0,0,1
543,0,41,4,0,1,0,0,194902,0,0,1
584,1,31,5,0,2,1,0,31474,0,0,0
691,1,30,7,116927,1,1,0,21198,0,1,0
684,0,40,6,137326,1,1,0,186976,0,1,0
733,1,22,5,0,2,1,1,117202,0,0,0
599,0,37,2,0,2,1,1,143739,0,0,1
524,0,31,10,67238,2,1,1,161811,0,1,0
632,0,38,6,86569,2,1,0,98090,0,1,0
735,1,34,5,0,2,0,0,71095,0,0,1
734,1,34,6,133598,1,1,1,13107,0,0,0
605,0,51,3,136188,1,1,1,67110,1,0,0
793,1,38,9,0,2,1,0,88225,0,0,1
468,0,56,10,0,3,0,1,62256,1,0,0
779,1,37,7,120092,2,1,0,135925,0,1,0
698,1,48,4,101238,2,0,1,177815,1,0,0
707,1,58,6,89685,1,0,1,126471,0,0,0
850,0,35,1,211774,1,1,0,188574,1,0,0
850,1,56,7,131317,1,1,1,119175,0,0,0
527,1,37,5,93722,2,1,1,139093,0,0,1
696,1,32,8,101160,1,1,1,115916,0,1,0
661,1,48,3,120320,1,0,0,96463,0,0,0
776,0,31,2,0,2,1,1,112349,0,0,0
701,1,43,2,0,2,1,1,165303,0,0,0
610,1,26,8,0,2,1,0,166031,0,0,0
572,0,48,3,152827,1,1,0,38411,1,1,0
673,1,30,1,64097,1,1,1,77783,0,0,0
519,0,57,2,119035,2,1,1,29871,0,0,1
702,0,26,4,135219,1,0,1,59747,0,0,1
729,1,32,6,93694,1,1,1,79919,0,0,0
543,1,35,10,59408,1,1,0,76773,0,0,1
550,0,40,7,114354,1,1,0,54018,0,0,0
608,1,59,1,0,1,1,0,70649,1,0,0
639,1,35,10,128173,2,1,0,59093,0,1,0
686,1,34,9,0,2,1,0,127569,0,0,1
564,0,62,5,114931,3,0,1,18260,1,1,0
745,0,28,1,111071,1,1,0,73275,1,1,0
