CreditScore,Gender,NumOfProducts,HasCrCard,EstimatedSalary,Exited,Geography_Spain,Geography,Balance_Is_Zero,Balance_Salary_Ratio,IsActive_x_NumProducts,Tenure_Per_Age,Age_Squared,Germany_x_Balance
510,0,1,1,118913.53,1,1,Spain,1,0.0,0,0.10256410256410256,1444,0.0
669,1,2,0,8487.75,0,0,France,1,0.0,2,0.06382978723404255,2116,0.0
846,0,1,1,187616.16,0,0,France,1,0.0,1,0.1282051282051282,1444,0.0
577,1,2,0,124508.29,0,0,France,1,0.0,2,0.11538461538461539,625,0.0
756,1,1,1,170041.95,0,0,Germany,0,0.8045946038927224,1,0.05405405405405406,1296,136815.64
571,1,2,0,38433.35,0,0,France,1,0.0,0,0.2,1936,0.0
574,0,1,1,100187.43,0,0,Germany,0,1.4108358619852612,1,0.06818181818181818,1849,141349.43
411,1,2,1,53483.21,0,0,France,0,1.116164378234249,2,0.0,841,0.0
591,0,3,1,140469.38,1,1,Spain,1,0.0,0,0.075,1521,0.0
533,1,1,0,156731.91,0,0,France,0,0.5443126143705237,1,0.1891891891891892,1296,0.0
553,1,2,0,81898.81,0,0,Germany,0,1.3444785769344276,0,0.21428571428571427,1681,110112.54
520,0,2,1,34410.55,0,1,Spain,1,0.0,2,0.13953488372093023,1764,0.0
722,0,2,1,142033.07,0,1,Spain,1,0.0,2,0.3,841,0.0
475,0,1,1,27822.99,1,0,France,0,4.825477582474692,0,0.0,2025,0.0
490,1,1,0,114066.77,0,1,Spain,0,1.2734555080720873,1,0.09375,961,0.0
804,1,1,0,98453.45,0,1,Spain,0,0.7775026928696469,1,0.20588235294117646,1089,0.0
850,1,1,1,40812.9,0,0,France,1,0.0,1,0.1891891891891892,1296,0.0
582,1,2,0,178074.04,0,0,Germany,0,0.3950552531112726,2,0.14285714285714285,1681,70349.48
472,1,1,1,70154.22,0,1,Spain,1,0.0,0,0.0975609756097561,1600,0.0
465,0,1,0,181297.65,1,0,France,0,0.6758038187267252,0,0.15384615384615385,2601,0.0
556,0,1,1,94153.83,0,0,France,0,1.2470879082889321,1,0.03225806451612903,3721,0.0
834,0,1,0,194365.76,1,0,France,0,0.6760135323550178,0,0.04,2401,0.0
660,0,1,1,158338.39,0,1,Spain,0,0.9847903923338341,1,0.08064516129032258,3721,0.0
776,0,2,1,126517.46,0,0,Germany,0,0.8648629614998475,2,0.12121212121212122,1024,109421.13
829,0,1,1,119708.21,1,0,Germany,0,0.9359820351333034,1,0.32142857142857145,729,112045.67
637,0,1,1,117622.8,1,0,Germany,0,1.171903985417917,1,0.225,1521,137843.8
550,1,1,0,90878.13,0,0,Germany,0,1.137680125238875,1,0.05128205128205128,1444,103391.38
776,0,2,1,194099.12,0,0,Germany,0,0.5346169801440618,0,0.05263157894736842,1369,103769.22
698,1,2,1,198059.16,0,0,Germany,0,0.5875152781861834,0,0.2222222222222222,1936,116363.37
585,1,2,0,86424.57,0,0,Germany,0,1.6899046196629075,0,0.13513513513513514,1296,146050.97
788,0,2,0,116978.19,0,0,France,1,0.0,0,0.14705882352941177,1089,0.0
655,1,1,0,164040.94,1,0,Germany,0,0.76542602458859,0,0.19047619047619047,1681,125561.97
601,1,1,1,40014.76,1,0,Germany,0,2.4614231992594915,0,0.023255813953488372,1764,98495.72
619,1,1,1,113410.49,0,0,France,0,1.1040496866763676,1,0.022727272727272728,1849,0.0
656,1,1,1,87107.57,0,0,France,0,1.4678739416799058,0,0.10869565217391304,2025,0.0
725,1,1,0,45613.75,0,0,Germany,0,1.6636767712198357,0,0.0,361,75888.2
511,0,1,1,1643.11,1,1,Spain,1,0.0,0,0.05970149253731343,4356,0.0
614,1,1,1,46775.28,0,0,France,0,0.8697981113504537,1,0.07692307692307693,2601,0.0
742,1,1,0,84509.57,0,0,Germany,0,1.6194068978590488,0,0.1388888888888889,1225,136857.0
687,0,2,0,126494.82,0,0,Germany,0,1.2042206612044573,0,0.32142857142857145,729,152328.88
555,1,2,0,178798.13,0,1,Spain,0,0.3136742891310489,0,0.029411764705882353,1089,0.0
684,1,1,1,99398.36,0,1,Spain,0,0.7918276334978415,1,0.14035087719298245,3136,0.0
603,1,1,1,92840.67,0,0,Germany,0,1.1758337608532892,1,0.14814814814814814,676,109166.37
751,0,2,1,27758.36,0,0,Germany,0,6.117989031447411,2,0.16216216216216217,1296,169831.46
581,0,1,1,110431.51,0,0,Germany,0,0.9203181200898177,0,0.02857142857142857,1156,101633.04
735,1,2,1,196673.28,0,0,Germany,0,0.6263147880851527,2,0.22727272727272727,1849,123180.01
661,0,2,0,113656.85,0,0,Germany,0,1.3261339185986714,2,0.1388888888888889,1225,150725.53
675,0,1,1,18203.0,0,0,France,0,5.403936497473082,0,0.36363636363636365,441,0.0
738,1,4,1,28373.86,1,0,Germany,0,4.713518938948069,0,0.03389830508474576,3364,133745.44
813,1,1,1,33953.87,0,0,France,1,0.0,0,0.2,841,0.0
657,0,1,0,44203.55,0,1,Spain,0,3.701138909908595,1,0.0,1369,0.0
604,0,2,1,58426.81,0,0,Germany,0,2.7004407661351677,2,0.19230769230769232,625,157780.84
519,1,2,0,145562.4,0,0,France,1,0.0,2,0.24324324324324326,1296,0.0
735,0,2,1,22388.0,0,0,France,0,7.982410558756532,0,0.045454545454545456,441,0.0
664,1,2,1,139161.64,0,0,France,1,0.0,2,0.14285714285714285,3025,0.0
678,0,1,1,148210.64,0,0,France,1,0.0,1,0.2727272727272727,1024,0.0
757,1,1,0,194239.63,0,1,Spain,0,0.39771915896277726,1,0.14705882352941177,1089,0.0
416,0,2,1,98301.61,0,0,Germany,0,1.2429950740880633,0,0.23809523809523808,1681,122189.66
665,0,2,0,171413.66,0,0,France,0,0.5638114032953774,0,0.02857142857142857,1156,0.0
777,0,1,1,136458.19,1,0,France,1,0.0,0,0.06060606060606061,1024,0.0
543,0,2,0,26019.59,0,0,France,1,0.0,0,0.08108108108108109,1296,0.0
506,0,1,1,159235.29,0,0,France,0,0.567129641113844,1,0.11428571428571428,1156,0.0
493,0,2,1,1907.66,0,0,France,1,0.0,0,0.0851063829787234,2116,0.0
652,0,2,1,114675.75,0,1,Spain,1,0.0,2,0.13157894736842105,5625,0.0
750,1,1,1,128643.35,1,1,Spain,0,0.9458776852617313,0,0.13043478260869565,484,0.0
729,1,2,1,151869.35,0,0,France,1,0.0,0,0.2903225806451613,900,0.0
646,0,3,1,93251.42,1,0,France,1,0.0,0,0.0851063829787234,2116,0.0
635,0,2,1,156791.36,0,0,Germany,0,0.520584485111392,2,0.10344827586206896,784,81623.67
647,0,3,1,174205.22,1,1,Spain,1,0.0,3,0.1111111111111111,1936,0.0
808,1,2,1,147132.46,0,0,France,0,0.8062513448674422,0,0.15217391304347827,2025,0.0
524,0,2,1,109614.57,0,0,France,1,0.0,0,0.2702702702702703,1296,0.0
769,1,2,1,172290.61,0,0,France,1,0.0,2,0.26666666666666666,841,0.0
730,1,2,0,85982.47,0,1,Spain,1,0.0,2,0.09302325581395349,1764,0.0
515,1,1,0,121277.78,0,1,Spain,0,1.45346077854675,1,0.2777777777777778,1225,0.0
773,1,1,0,64595.25,0,1,Spain,0,1.591848443214583,1,0.21428571428571427,1681,0.0
814,1,2,1,197276.13,0,0,Germany,0,0.49213205808498933,2,0.26666666666666666,841,97086.4
710,1,2,0,99645.04,0,1,Spain,1,0.0,0,0.34782608695652173,484,0.0
413,1,2,0,6534.18,0,0,France,1,0.0,0,0.2571428571428571,1156,0.0
665,0,1,1,161848.03,0,0,France,1,0.0,1,0.14634146341463414,1600,0.0
623,0,2,0,167162.43,0,0,France,1,0.0,0,0.13333333333333333,1936,0.0
738,1,1,1,41970.72,0,0,France,0,1.9697584468780405,0,0.28125,961,0.0
528,1,2,1,60536.56,0,1,Spain,1,0.0,0,0.1891891891891892,1296,0.0
670,0,1,1,177655.68,1,1,Spain,1,0.0,1,0.015151515151515152,4225,0.0
622,0,2,1,30984.59,1,1,Spain,0,3.455582740235058,2,0.0851063829787234,2116,0.0
582,1,1,1,10054.53,0,0,Germany,0,8.844747119246822,1,0.030303030303030304,1024,88938.62
785,0,1,0,36976.52,0,0,Germany,0,2.6991223316220236,1,0.05405405405405406,1296,99806.85
605,1,1,0,71862.79,0,1,Spain,0,2.0885733969778104,0,0.14705882352941177,1089,0.0
479,1,1,1,99449.86,1,0,Germany,0,0.9334649293128284,0,0.25,1225,92833.89
685,1,1,0,63082.88,0,0,Germany,0,1.4351813807267404,1,0.0967741935483871,900,90536.81
538,1,2,1,27231.26,0,0,Germany,0,3.9679079150977556,0,0.175,1521,108055.1
562,1,1,0,86797.41,0,0,France,0,1.1548408548036768,0,0.046511627906976744,1764,0.0
675,1,1,0,22994.32,0,1,Spain,0,4.617920081129552,1,0.24324324324324326,1296,0.0
721,1,2,0,101300.94,1,0,Germany,0,1.524902089732931,2,0.3103448275862069,784,154475.54
628,0,2,1,74169.13,0,0,Germany,0,1.7844284484872819,2,0.2903225806451613,900,132351.29
668,0,1,1,115638.29,0,0,Germany,0,1.4516208115771032,0,0.15789473684210525,1369,167864.4
506,0,2,1,31766.3,0,0,France,1,0.0,0,0.023809523809523808,1681,0.0
524,0,1,1,199725.39,1,0,Germany,0,0.5398316667116448,0,0.25,961,107818.63
699,1,2,1,120834.48,0,0,Germany,0,1.5324456856545776,0,0.11428571428571428,1156,185173.81
828,1,2,0,38131.77,0,0,France,0,3.3942810868447273,0,0.22857142857142856,1156,0.0
674,1,1,0,100130.95,0,1,Spain,0,1.200350337729366,0,0.15,1521,0.0
656,0,2,1,141069.88,0,0,France,1,0.0,0,0.15,1521,0.0
684,0,1,1,198129.36,0,0,Germany,0,0.6378851782230649,1,0.20408163265306123,2304,126384.42
625,0,1,0,183646.41,0,0,France,1,0.0,0,0.10344827586206896,784,0.0
432,1,1,1,110265.24,1,0,France,0,1.3839544179614722,0,0.20930232558139536,1764,0.0
549,0,1,0,8636.05,1,0,France,1,0.0,1,0.018867924528301886,2704,0.0
625,1,1,1,46824.08,1,0,Germany,0,3.171532008060637,0,0.0,3136,148507.24
828,0,2,1,171378.77,0,0,France,1,0.0,0,0.16666666666666666,1681,0.0
770,1,1,1,167256.35,0,0,France,0,0.608804755067565,0,0.36,576,0.0
758,0,2,1,124226.16,0,0,France,1,0.0,2,0.08571428571428572,1156,0.0
795,0,1,1,114935.21,0,0,Germany,0,1.1385657313739508,1,0.2647058823529412,1089,130862.43
687,1,1,1,35608.88,0,0,France,0,3.4420467016457232,1,0.23076923076923078,1444,0.0
686,1,2,0,16459.37,0,0,France,1,0.0,2,0.038461538461538464,625,0.0
789,1,2,1,124411.08,0,0,Germany,0,1.0033467811164318,2,0.175,1521,124828.46
589,0,2,1,34941.23,0,0,Germany,0,4.146703000924669,2,0.09803921568627451,2500,144895.05
461,0,1,0,167784.28,0,0,Germany,0,0.3794369208073557,1,0.14285714285714285,1156,63663.93
637,1,1,0,93165.34,0,0,France,0,1.432524879693675,1,0.04878048780487805,1600,0.0
584,0,1,1,75161.25,1,1,Spain,0,2.8358145212523573,0,0.04081632653061224,2304,0.0
579,0,2,0,8590.83,1,1,Spain,0,15.071336374206659,2,0.027777777777777776,1225,0.0
756,1,1,1,189543.9,0,0,Germany,0,0.7251690232762791,0,0.2222222222222222,1936,137452.09
663,1,2,1,180427.24,0,0,France,1,0.0,2,0.2,1156,0.0
682,0,1,1,193318.33,0,0,France,0,0.6510054116161069,1,0.11363636363636363,1849,0.0
793,1,1,1,159123.82,1,1,Spain,1,0.0,0,0.03773584905660377,2704,0.0
691,0,1,1,126213.84,1,0,France,0,0.3241738451674938,0,0.15625,961,0.0
485,0,1,1,54141.5,0,1,Spain,0,2.089988825783811,1,0.22727272727272727,441,0.0
635,0,2,1,141075.51,0,1,Spain,0,0.9802974286789486,0,0.26666666666666666,841,0.0
650,1,1,0,24495.03,0,0,France,0,4.366714932991183,0,0.13157894736842105,1369,0.0
735,1,1,1,74836.34,0,0,France,0,1.6125857760310562,0,0.2,1936,0.0
416,1,2,0,878.87,0,0,France,1,0.0,2,0.0,1024,0.0
754,0,2,1,89520.75,0,1,Spain,1,0.0,0,0.21212121212121213,1024,0.0
535,0,1,1,149892.79,1,0,France,1,0.0,0,0.1836734693877551,2304,0.0
716,1,2,1,180800.42,0,1,Spain,1,0.0,0,0.18604651162790697,1764,0.0
539,1,1,1,98646.22,0,0,France,0,1.293595399850092,0,0.05263157894736842,1369,0.0
614,0,2,1,109041.53,0,0,France,1,0.0,2,0.13636363636363635,1849,0.0
706,1,1,1,17941.16,1,1,Spain,1,0.0,0,0.1206896551724138,3249,0.0
758,0,2,0,82996.47,0,0,France,1,0.0,0,0.20588235294117646,1089,0.0
586,0,2,1,92067.35,0,1,Spain,1,0.0,2,0.06896551724137931,784,0.0
646,0,1,0,104719.66,0,0,France,0,0.9287493986382438,1,0.08108108108108109,5329,0.0
631,0,1,0,112687.57,0,0,Germany,0,1.0936929983227224,0,0.11764705882352941,1089,123246.7
717,0,1,0,84699.56,0,1,Spain,0,1.1931473652594504,1,0.2608695652173913,484,0.0
684,1,2,1,83473.82,0,0,France,1,0.0,0,0.06451612903225806,900,0.0
800,0,1,0,47125.11,0,0,France,0,2.291879384909979,0,0.14,2401,0.0
721,0,2,1,106977.8,0,1,Spain,1,0.0,2,0.05405405405405406,1296,0.0
683,1,1,1,55582.54,1,1,Spain,0,2.4054403515860994,0,0.0,841,0.0
660,1,2,1,139874.43,0,0,Germany,0,0.8950088661032177,2,0.28125,961,125189.75
704,0,1,1,162503.48,1,0,Germany,0,0.6955760235040904,0,0.28,576,113034.22
615,0,1,1,196499.96,0,1,Spain,0,0.5547719970426608,0,0.21428571428571427,1681,0.0
667,0,2,1,40721.24,1,1,Spain,1,0.0,0,0.05,1521,0.0
682,1,2,0,53134.3,0,0,Germany,0,1.0902321055870579,0,0.36,576,57929.81
484,0,1,1,164017.89,0,0,France,0,0.7932890534742675,0,0.13333333333333333,841,0.0
628,1,2,1,155996.96,0,0,Germany,0,0.6142804046924717,0,0.17857142857142858,729,95826.49
480,1,1,1,5472.7,1,0,Germany,0,23.6784204468641,0,0.2222222222222222,1936,129608.57
578,1,1,1,112187.11,0,0,France,0,1.5105173801394818,0,0.12903225806451613,900,0.0
512,1,2,1,146457.83,0,0,France,1,0.0,2,0.12195121951219512,1600,0.0
484,0,1,1,27286.1,0,1,Spain,0,4.905915615803805,1,0.19444444444444445,1225,0.0
510,0,2,1,130553.47,0,0,France,1,0.0,2,0.0,900,0.0
606,1,2,0,179351.89,0,0,Germany,0,1.0620374168489841,0,0.13513513513513514,1296,190479.48
597,0,1,0,94774.12,0,1,Spain,0,1.0761592282869175,1,0.1951219512195122,1600,0.0
754,0,1,1,8080.85,1,0,Germany,0,19.99651193724209,0,0.05357142857142857,3025,161608.81
850,0,1,1,19482.5,0,1,Spain,0,6.277681628044243,1,0.043478260869565216,2025,0.0
510,1,2,1,48071.61,0,0,France,1,0.0,2,0.030303030303030304,4225,0.0
778,0,2,1,174531.27,0,0,Germany,0,0.929056958922267,0,0.021739130434782608,2025,162150.42
636,1,2,1,55470.78,0,0,France,1,0.0,2,0.046511627906976744,1764,0.0
804,0,1,1,8546.87,1,0,France,1,0.0,1,0.0784313725490196,2500,0.0
514,1,2,1,95857.18,0,0,France,1,0.0,0,0.24242424242424243,1024,0.0
730,0,1,1,194945.8,0,0,France,0,0.5078855872473926,0,0.025,1521,0.0
525,0,1,0,131521.72,0,1,Spain,1,0.0,1,0.0,1369,0.0
616,1,2,0,196108.51,0,1,Spain,1,0.0,2,0.16129032258064516,900,0.0
687,0,2,1,148564.76,0,0,Germany,0,0.7497567407187227,0,0.2,1156,111388.18
715,0,2,0,92982.61,1,0,France,0,0.6045672995488129,0,0.19047619047619047,1681,0.0
512,0,2,1,17675.36,0,0,France,0,4.770652442018606,0,0.08108108108108109,1296,0.0
479,1,2,0,114996.43,0,0,France,1,0.0,0,0.024390243902439025,1600,0.0
601,1,1,1,86957.42,0,0,France,0,1.0696248850887586,0,0.24242424242424243,1024,0.0
580,1,2,1,128077.8,0,1,Spain,0,0.48181619440531925,0,0.3,841,0.0
807,1,1,1,600.36,0,0,France,0,290.65809165890647,1,0.08333333333333333,1225,0.0
616,0,2,1,43001.46,0,1,Spain,1,0.0,2,0.18181818181818182,1024,0.0
721,1,1,1,158591.12,0,0,Germany,0,0.6792307209210647,1,0.07894736842105263,1369,107720.64
501,1,2,1,47847.19,0,0,France,1,0.0,2,0.1724137931034483,3249,0.0
521,1,1,1,10488.44,0,0,France,0,9.192467853383974,0,0.16666666666666666,1225,0.0
850,1,1,1,5978.2,0,1,Spain,0,23.588441597538136,1,0.06451612903225806,900,0.0
759,1,1,0,121409.06,0,0,France,0,0.8682985577966109,1,0.09302325581395349,1764,0.0
516,1,1,0,146145.93,1,1,Spain,1,0.0,1,0.09803921568627451,2500,0.0
711,0,2,1,14374.86,1,0,France,0,8.974910718384848,2,0.05128205128205128,1444,0.0
512,1,1,1,94670.77,0,1,Spain,0,1.8660960917916714,0,0.08823529411764706,1089,0.0
550,1,1,1,179670.31,0,0,France,1,0.0,1,0.07894736842105263,1369,0.0
608,0,1,0,199304.74,1,1,Spain,0,0.45038261316507994,0,0.07142857142857142,1681,0.0
618,1,1,1,151954.39,0,0,France,0,0.8881194013585171,1,0.14285714285714285,1156,0.0
643,1,1,1,142513.5,1,0,France,1,0.0,0,0.10869565217391304,2025,0.0
671,1,1,0,158264.62,0,0,France,0,0.6721412395187282,1,0.043478260869565216,2025,0.0
689,1,2,1,169381.9,0,0,Germany,0,0.9553186301568813,0,0.058823529411764705,1089,161814.64
603,1,2,1,169915.02,0,0,France,1,0.0,2,0.25,961,0.0
620,0,2,0,88852.47,0,0,France,1,0.0,0,0.21428571428571427,1681,0.0
676,0,1,1,40645.81,0,0,France,0,1.5522745819413628,1,0.02857142857142857,1156,0.0
572,1,2,0,60427.3,0,0,Germany,0,1.9574770430410915,0,0.14814814814814814,676,118287.01
668,1,1,0,157959.02,1,0,Germany,0,0.676463639343677,1,0.14583333333333334,2209,106854.21
695,1,1,1,133007.34,0,0,France,0,0.3722514693439524,0,0.14893617021276595,2116,0.0
730,0,2,0,176576.62,0,1,Spain,1,0.0,0,0.2647058823529412,1089,0.0
807,1,2,1,34888.04,1,0,France,0,3.032451451802629,0,0.022727272727272728,1849,0.0
592,1,1,1,28737.71,1,0,France,1,0.0,1,0.14545454545454545,2916,0.0
726,0,2,1,98178.57,0,0,France,0,1.1684920803788406,2,0.28125,961,0.0
514,1,1,0,125010.24,0,1,Spain,1,0.0,1,0.22580645161290322,900,0.0
567,1,2,1,167984.61,0,0,France,1,0.0,2,0.046511627906976744,1764,0.0
850,1,1,1,4861.72,1,0,France,1,0.0,0,0.29411764705882354,1089,0.0
671,1,1,1,108872.45,1,0,Germany,0,0.9144949480337033,1,0.13043478260869565,2025,99564.22
670,1,2,1,198252.88,0,0,France,0,0.8603004894532202,0,0.10526315789473684,1369,0.0
694,0,2,1,26960.31,0,0,France,1,0.0,2,0.2903225806451613,900,0.0
547,0,3,1,85746.52,1,0,Germany,0,0.8699511076238705,3,0.15,1521,74596.15
751,1,1,1,77206.25,1,0,Germany,0,1.2549131072535287,0,0.0392156862745098,2500,96888.39
594,0,1,1,61048.53,0,0,Germany,0,2.1430176448532854,0,0.1,841,130830.22
673,1,2,0,111981.19,0,0,France,1,0.0,2,0.0136986301369863,5184,0.0
610,1,2,1,62232.6,0,0,France,1,0.0,0,0.0,1600,0.0
512,0,2,0,156105.03,0,0,France,1,0.0,2,0.02631578947368421,1369,0.0
767,1,2,0,150135.38,0,0,Germany,0,0.7973700311676624,2,0.14285714285714285,400,119714.25
585,0,2,0,93146.11,0,0,France,0,1.2236447271418298,2,0.07352941176470588,4489,0.0
763,1,1,1,33462.94,1,0,Germany,0,2.9930949553459634,0,0.13953488372093023,1764,100160.75
712,0,1,1,144375.0,0,0,France,1,0.0,1,0.06666666666666667,841,0.0
539,0,3,1,55803.96,1,0,Germany,0,2.082619537761518,0,0.06818181818181818,1849,116220.5
668,0,3,1,89048.46,1,0,France,1,0.0,0,0.0425531914893617,2116,0.0
703,1,2,0,162812.16,0,0,France,0,0.49857044725377236,2,0.06896551724137931,784,0.0
662,1,2,1,136259.65,0,1,Spain,1,0.0,0,0.10256410256410256,1444,0.0
725,0,1,1,124052.97,0,0,Germany,0,0.9415563242353309,0,0.125,1521,116803.8
703,1,2,0,74158.8,0,0,France,0,1.4288290960870982,2,0.21052631578947367,1369,0.0
659,1,1,1,45071.09,1,0,Germany,0,2.604973499121075,1,0.08823529411764706,4489,117411.6
523,1,2,1,62030.06,0,1,Spain,1,0.0,0,0.2,1156,0.0
635,0,1,1,131953.23,1,0,France,0,0.9359122477543917,0,0.24390243902439024,1600,0.0
772,1,2,1,79414.0,0,0,Germany,0,1.9190393502486938,0,0.25925925925925924,676,152400.51
545,0,2,1,199638.56,0,0,France,1,0.0,2,0.037037037037037035,676,0.0
634,1,1,1,157577.29,0,0,Germany,0,0.6542643025254303,1,0.32,576,103097.85
739,1,1,1,134420.75,1,0,Germany,0,0.9404589659039553,0,0.14545454545454545,2916,126418.14
771,0,1,0,99805.99,0,0,Germany,0,0.7799744286447271,0,0.13513513513513514,1296,77846.9
587,0,2,1,97932.68,0,1,Spain,1,0.0,2,0.02857142857142857,1156,0.0
681,0,2,0,170968.99,0,0,France,1,0.0,2,0.0,6241,0.0
544,1,1,1,57558.95,0,0,Germany,0,1.385197693882639,1,0.05263157894736842,1369,79731.91
696,1,1,0,176713.47,0,1,Spain,1,0.0,0,0.27586206896551724,784,0.0
766,1,2,0,34283.23,0,1,Spain,1,0.0,2,0.0,1681,0.0
727,1,2,1,198637.34,0,0,France,1,0.0,2,0.2857142857142857,1156,0.0
671,0,2,0,156917.12,0,0,Germany,0,0.23749118329992738,0,0.17142857142857143,1156,37266.67
693,0,1,1,50457.2,0,0,France,0,2.5365996012541077,1,0.1935483870967742,900,0.0
850,1,1,1,140075.55,0,0,Germany,0,0.39193576655050405,1,0.07692307692307693,1444,54901.01
732,1,2,1,65323.11,0,0,Germany,0,1.6647464466029465,2,0.20930232558139536,1764,108748.08
726,0,1,1,64323.24,0,1,Spain,0,1.5531654940656898,0,0.12244897959183673,2304,0.0
557,0,2,1,14956.44,0,0,France,0,12.347461196568396,0,0.18181818181818182,1024,0.0
682,0,1,0,111879.21,0,0,France,0,0.9890401528563452,1,0.0,676,0.0
738,1,1,1,18606.23,0,1,Spain,0,4.246725600747666,1,0.28125,961,0.0
531,0,1,1,123137.01,0,1,Spain,0,0.8059291359345502,0,0.24324324324324326,1296,0.0
498,1,2,1,148528.24,0,0,France,1,0.0,2,0.05714285714285714,1156,0.0
651,1,2,1,13898.31,0,0,France,1,0.0,0,0.1891891891891892,1296,0.0
549,0,1,0,81259.25,1,1,Spain,1,0.0,0,0.175,1521,0.0
791,0,1,1,161051.75,0,0,Germany,0,0.3255840089660065,0,0.19444444444444445,1225,52436.2
650,1,2,0,191599.67,0,1,Spain,1,0.0,2,0.21428571428571427,1681,0.0
733,1,3,1,48559.19,1,0,Germany,0,2.066259625425683,0,0.08571428571428572,1156,100337.96
811,0,2,1,186339.74,0,0,Germany,0,0.8012053080823872,2,0.02857142857142857,1156,149297.19
707,1,2,1,33159.37,0,0,France,1,0.0,0,0.25806451612903225,900,0.0
712,1,1,0,93883.53,0,0,Germany,0,1.5508991736977327,1,0.13793103448275862,784,145605.44
706,0,2,1,110899.3,0,1,Spain,1,0.0,2,0.18421052631578946,1369,0.0
756,1,1,1,11199.04,1,0,France,1,0.0,1,0.047619047619047616,3844,0.0
777,0,2,1,189992.97,0,0,France,1,0.0,0,0.18518518518518517,2809,0.0
646,1,1,0,164255.69,0,0,France,0,0.5115582202466152,1,0.16666666666666666,1225,0.0
714,1,1,1,152167.79,1,0,France,1,0.0,0,0.02127659574468085,2116,0.0
782,1,2,1,33949.67,0,0,France,1,0.0,2,0.2,1521,0.0
775,1,2,1,68143.93,0,1,Spain,1,0.0,2,0.3333333333333333,841,0.0
479,1,1,1,47251.79,1,0,Germany,0,2.935676814003999,1,0.1111111111111111,1225,138718.92
807,1,1,1,25885.72,0,0,France,0,4.568933800805973,1,0.16279069767441862,1764,0.0
799,0,2,0,192633.85,0,0,France,0,0.9042288038742731,2,0.34782608695652173,484,0.0
675,1,2,1,34577.36,0,0,France,0,3.2739800268144585,0,0.17073170731707318,1600,0.0
602,1,1,1,161229.84,0,1,Spain,0,0.6444628087281565,0,0.16666666666666666,841,0.0
475,0,1,1,100816.29,0,0,France,0,1.1805840049856529,0,0.24242424242424243,1024,0.0
744,0,1,1,181694.44,0,1,Spain,0,0.9152562662001865,1,0.18518518518518517,676,0.0
588,1,2,1,79078.91,0,1,Spain,1,0.0,0,0.2857142857142857,1156,0.0
703,1,1,0,137316.32,0,0,Germany,0,0.46044446541776374,1,0.20930232558139536,1764,63227.0
747,0,2,1,194926.86,0,1,Spain,0,0.4849033380862028,0,0.11904761904761904,1681,0.0
583,1,2,1,51285.49,0,0,France,1,0.0,0,0.25,729,0.0
750,0,1,0,150401.53,1,1,Spain,0,0.750135386685317,0,0.2571428571428571,1156,0.0
681,1,2,1,112491.96,0,0,France,1,0.0,2,0.07692307692307693,1444,0.0
773,1,1,1,73656.38,0,0,France,0,1.8450741799396067,0,0.07692307692307693,625,0.0
714,0,1,1,106636.89,0,0,France,0,1.173778475924458,1,0.125,961,0.0
687,0,3,1,155853.52,1,1,Spain,1,0.0,0,0.15555555555555556,1936,0.0
